Name;Speed;Control
Yinhe T6s;8.5;7.2
Yinhe T7s;9;9.2
Yinhe TC.1 Thin Carbon 1;-;-
Yinhe TC.2 Thin Carbon 2;-;-
Yinhe TC.4 Thin Carbon 4;-;-
Yinhe U-2 Spin;8.8;8.5
Yinhe U2004 (U-4);7.5;8
Yinhe U2005 (U-5);8.4;8.3
Yinhe U2006 (U-6);9;8
Yinhe U2007 (U-7);-;-
Yinhe Uranus U-1;9.6;9
Yinhe Uranus U-1 VB;8.7;9.5
Yinhe Uranus U-2;8.3;9.2
Yinhe Uranus U-3;9.3;9.4
Yinhe Venus V-1;8.9;9.1
Yinhe Venus V-11;9.5;9.8
Yinhe Venus V-12;9.1;9.2
Yinhe Venus V-13;8.9;9.3
Yinhe Venus V-14;9;9
Yinhe Venus V-14 PRO;9.1;9.1
Yinhe Venus V-15;9.5;9
Yinhe Venus V-16;9.2;8.6
Yinhe Venus V-2;8.5;7.5
Yinhe Venus V-3;-;-
Yinhe Venus V-4;9.3;9.2
Yinhe VF5;-;-
Yinhe W-1;8.9;8.5
Yinhe W-2;8.1;8.6
Yinhe W-3;-;-
Yinhe W-4;8.5;5
Yinhe W-5;9;8
Yinhe W-6;7.9;8.8
Yinhe Win ALC;9.4;9
Yinhe Y-1;8.5;8.5
Yinhe Y-2;9.1;9.2
Yinhe Y-3;8.7;7.7
Yinhe Y-4;8.8;9
Yinhe Yinhe D-715;9;9.4
Yinhe Yinhe T1S;9;8
Yinhe Yu Ziyang Golden ALC;9.1;9.6
Yinhe Z5 VF;8.4;9.5
Yinhe Z7 VF;8.9;9.4
Yasaka Advance 3D;9.1;9.2
Yasaka Allround 40;8;8
Yasaka Allround Plus;7.9;9.1
Yasaka Alnade;9.2;9
Yasaka Atletico Power;9;9.3
Yasaka Balsa;7.6;7.9
Yasaka Balsa Plus;8.5;8.1
Yasaka Battle Balsa;8;9
Yasaka Carbon 3D;8;8.6
Yasaka Dynamix 17;9.5;9.1
Yasaka Eagle;7.7;8
Yasaka Earlest Carbon+;10;10
Yasaka Ebony Carbon;9.5;8.8
Yasaka Extra;7.4;9.1
Yasaka Extra 3 D;8;8.5
Yasaka Extra 3D Soft Carbon;8.2;8.2
Yasaka Extra 7;8.1;8.3
Yasaka Extra Offensive 7 Power;9.2;9
Yasaka Extra Special;8.8;8.9
Yasaka Falck Carbon;-;-
Yasaka Falck W7;9.1;8.8
Yasaka Galaxya;8.4;8.9
Yasaka Galaxya Carbon;9.5;8.7
Yasaka Galaxya Carbon Special;9.3;9
Yasaka Gatien 2040;6.2;8.3
Yasaka Gatien Allround;6.7;9.3
Yasaka Gatien Carbon 3D;-;-
Yasaka Gatien Extra;7.6;8.9
Yasaka Gatien Extra 3D;7.8;8.6
Yasaka Gatien OVERDRIVE Metal;8.6;8.6
Yasaka Goiabao 5;9.3;9.2
Yasaka Hasha Deluxe;9.8;8.3
Yasaka Hasha V;8.5;10
Yasaka Hinoki Leo 7;9.1;9
Yasaka Kan Yo Fiber Special;8.5;8
Yasaka Katsura;7;7
Yasaka Ma Lin;-;-
Yasaka Ma Lin Carbon;8.6;8.4
Yasaka Ma Lin Extra;-;-
Yasaka Ma Lin Extra Offensive;8.5;8.6
Yasaka Ma Lin Extra Special;9.1;9.2
Yasaka Ma Lin Hard Carbon;8.9;8.3
Yasaka Ma Lin Max Carbon;9.2;9.1
Yasaka Ma Lin Soft Carbon;7.6;8.3
Yasaka Mark V Special Edition;8;8.2
Yasaka Masamune;8.5;8.8
Yasaka Max Carbon 3D;9.6;8.3
Yasaka Max Wood;9.1;7.9
Yasaka Musashi;8.9;8.6
Yasaka Musashi Delux;8.9;9
Yasaka Musashi Gold W76;9.5;9
Yasaka Musashi Silver;9.5;10
Yasaka Offensive 40;8.5;10
Yasaka Overdrive;8.9;8.7
Yasaka Reinforce AC;9;10
Yasaka Reinforce HC;9.4;8
Yasaka Reinforce LT;8.6;9.3
Yasaka Reinforce SI;8.9;9.2
Yasaka Resonate AI;9;9.8
Yasaka Rifle;8.8;9
Yasaka Rose Grade;9.1;8.8
Yasaka Silverline 9 Wood;9.6;8.4
Yasaka Silverline All Wood;8.2;9.1
Yasaka Silverline Carbon;8.7;8.6
Yasaka Spelancer;9.7;7.2
Yasaka Sweden Classic;6.7;9.2
Yasaka Sweden Classic Japan;7;9
